,Pin,Dispatch Center,Origin Center,Return Center,Facility City,Facility State,ODA
1761,301031,Alwar_TuleraRoad_I (Rajasthan),Alwar_TuleraRoad_I (Rajasthan),Alwar_TuleraRoad_I (Rajasthan),Alwar,Rajasthan,TRUE
1762,785609,Bokakhat_Kumaraniati_D (Assam),Bokakhat_Kumaraniati_D (Assam),Bokakhat_Kumaraniati_D (Assam),Bokakhat,Assam,TRUE
1763,637104,Sankari_Akkamapettai_D (Tamil Nadu),Sankari_Akkamapettai_D (Tamil Nadu),Sankari_Akkamapettai_D (Tamil Nadu),Sankari,Tamil Nadu,TRUE
1764,492003,Raipur_Guma_H (Chhattisgarh),Raipur_Guma_H (Chhattisgarh),Raipur_Guma_H (Chhattisgarh),Raipur,Chhattisgarh,FALSE
1765,262410,Nawabganj_Bhairav_D (Uttar Pradesh),Nawabganj_Bhairav_D (Uttar Pradesh),Nawabganj_Bhairav_D (Uttar Pradesh),Nawabganj-UP,Uttar Pradesh,FALSE
1766,743004,Siliguri_Telipara_L (West Bengal),Siliguri_Fulbari_H (West Bengal),Siliguri_Telipara_L (West Bengal),Siliguri,West Bengal,TRUE
1767,442917,Chandrapur_Gadchandur_DPP (Maharashtra),Chandrapur_Gadchandur_DPP (Maharashtra),Chandrapur_Gadchandur_DPP (Maharashtra),Chandrapur,Maharashtra,TRUE
1768,723126,Para_Dubra_DPP (West Bengal),Para_Dubra_DPP (West Bengal),Para_Dubra_DPP (West Bengal),Para,West Bengal,TRUE
1769,272176,Dhanghata_MarhaRaja_DPP (Uttar Pradesh),Dhanghata_MarhaRaja_DPP (Uttar Pradesh),Dhanghata_MarhaRaja_DPP (Uttar Pradesh),Dhanghata,Uttar Pradesh,FALSE
1770,581349,Mundgod_BankapuraRd_DPP (Karnataka),Mundgod_BankapuraRd_DPP (Karnataka),Mundgod_BankapuraRd_DPP (Karnataka),Mundgod,Karnataka,FALSE
1771,743405,Bongaon_SukntDPP_D (West Bengal),Bongaon_SukntDPP_D (West Bengal),Bongaon_SukntDPP_D (West Bengal),Bongaon,West Bengal,TRUE
1772,533289,Gokavaram_MuraliNagar_D (Andhra Pradesh),Gokavaram_MuraliNagar_D (Andhra Pradesh),Gokavaram_MuraliNagar_D (Andhra Pradesh),Gokavaram,Andhra Pradesh,FALSE
1773,637406,Rasipurm_Knrpati_D (Tamil Nadu),Rasipurm_Knrpati_D (Tamil Nadu),Rasipurm_Knrpati_D (Tamil Nadu),Rasipuram,Tamil Nadu,FALSE
1774,422005,Nashik_Satpurcolony_H (Maharashtra),Nashik_Satpurcolony_H (Maharashtra),Nashik_Satpurcolony_H (Maharashtra),Nashik,Maharashtra,FALSE
1775,396210,Vapi_Valwada_H (Gujarat),Vapi_Valwada_H (Gujarat),Vapi_Valwada_H (Gujarat),Vapi,Gujarat,TRUE
1776,743701,Bongaon_SukntDPP_D (West Bengal),Bongaon_SukntDPP_D (West Bengal),Bongaon_SukntDPP_D (West Bengal),Bongaon,West Bengal,TRUE
1777,585419,Basavakalyan_Morkhandi_DPP (Karnataka),Basavakalyan_Morkhandi_DPP (Karnataka),Basavakalyan_Morkhandi_DPP (Karnataka),Basavakalyan,Karnataka,TRUE
1778,503120,Kamareddy_KPRcolony_D (Telangana),Kamareddy_KPRcolony_D (Telangana),Kamareddy_KPRcolony_D (Telangana),Kamareddy,Telangana,TRUE
1779,731304,Nanoor_Central_DPP_1 (West Bengal),Nanoor_Central_DPP_1 (West Bengal),Nanoor_Central_DPP_1 (West Bengal),Nanoor,West Bengal,TRUE
1780,695134,Neyatinkra_Arlumodu_D (Kerala),Neyatinkra_Arlumodu_D (Kerala),Neyatinkra_Arlumodu_D (Kerala),Neyyattinkara,Kerala,TRUE
1781,515144,Puttaprthi_Gokulam_D (Andhra Pradesh),Puttaprthi_Gokulam_D (Andhra Pradesh),Puttaprthi_Gokulam_D (Andhra Pradesh),Puttaparthi,Andhra Pradesh,TRUE
1782,509223,Hyderabad_TollPlaza_L (Telangana),Hyderabad_Shamshbd_H (Telangana),Hyderabad_TollPlaza_L (Telangana),Hyderabad,Telangana,TRUE
1783,533447,Kothapalli_Vaakathippa_DPP (Andhra Pradesh),Kothapalli_Vaakathippa_DPP (Andhra Pradesh),Kothapalli_Vaakathippa_DPP (Andhra Pradesh),Kothapalli,Andhra Pradesh,FALSE
1784,230202,Kunda_KaretiRd_D (Uttar Pradesh),Kunda_KaretiRd_D (Uttar Pradesh),Kunda_KaretiRd_D (Uttar Pradesh),Kunda,Uttar Pradesh,TRUE
1785,686502,Kottayam_Ettumanoor_H (Kerala),Kottayam_Ettumanoor_H (Kerala),Kottayam_Ettumanoor_H (Kerala),Kottayam,Kerala,FALSE
1786,523247,Podili_Sravaniestate_D (Andhra Pradesh),Podili_Sravaniestate_D (Andhra Pradesh),Podili_Sravaniestate_D (Andhra Pradesh),Podili,Andhra Pradesh,FALSE
1787,844115,Hajipur_Belkunda_D (Bihar),Hajipur_Belkunda_D (Bihar),Hajipur_Belkunda_D (Bihar),Hajipur,Bihar,FALSE
1788,790104,Tawang_Cona_D (Arunachal Pradesh),Tawang_Cona_D (Arunachal Pradesh),Tawang_Cona_D (Arunachal Pradesh),Tawang,Arunachal Pradesh,FALSE
1789,574142,Mangalore_Katipalla_H (Karnataka),Mangalore_Katipalla_H (Karnataka),Mangalore_Katipalla_H (Karnataka),Mangalore,Karnataka,FALSE
1790,680591,Shoranur_Akamala_D (Kerala),Shoranur_Akamala_D (Kerala),Shoranur_Akamala_D (Kerala),Shoranur,Kerala,TRUE
1791,581354,Bhatkal_Sodigadde_D (Karnataka),Bhatkal_Sodigadde_D (Karnataka),Bhatkal_Sodigadde_D (Karnataka),Bhatkal,Karnataka,TRUE
1792,743262,Bongaon_SukntDPP_D (West Bengal),Bongaon_SukntDPP_D (West Bengal),Bongaon_SukntDPP_D (West Bengal),Bongaon,West Bengal,TRUE
1793,441215,Sindewahi_ZPSchlDPP_D (Maharashtra),Sindewahi_ZPSchlDPP_D (Maharashtra),Sindewahi_ZPSchlDPP_D (Maharashtra),Sindewahi,Maharashtra,FALSE
1794,517587,PutturAP_Pichatur_D (Andhra Pradesh),PutturAP_Pichatur_D (Andhra Pradesh),PutturAP_Pichatur_D (Andhra Pradesh),Puttur-AP,Andhra Pradesh,TRUE
1795,573214,Sakleshpur_Hithaishi_D (Karnataka),Sakleshpur_Hithaishi_D (Karnataka),Sakleshpur_Hithaishi_D (Karnataka),Sakleshpur,Karnataka,TRUE
1796,713406,Bardhaman_Ulhas_I (West Bengal),Bardhaman_Ulhas_I (West Bengal),Bardhaman_Ulhas_I (West Bengal),Bardhaman,West Bengal,TRUE
1797,600032,Chennai_Kolappancheri_L (Tamil Nadu),Chennai_Kolappancheri_L (Tamil Nadu),Chennai_Kolappancheri_L (Tamil Nadu),Chennai,Tamil Nadu,FALSE
1798,515213,Hindupur_Sadlapalli_D (Andhra Pradesh),Hindupur_Sadlapalli_D (Andhra Pradesh),Hindupur_Sadlapalli_D (Andhra Pradesh),Hindupur,Andhra Pradesh,TRUE
1799,848211,Rosera_HanumanTemple_D (Bihar),Rosera_HanumanTemple_D (Bihar),Rosera_HanumanTemple_D (Bihar),Rusera,Bihar,TRUE
1800,400615,Bhiwandi_BorivaliSonale_L (Maharashtra),Bhiwandi_Mega_GW (Maharashtra),Bhiwandi_BorivaliSonale_L (Maharashtra),Greater Thane,Maharashtra,FALSE
1801,635121,Krishnagiri_Bynapalli_I (Tamil Nadu),Krishnagiri_Bynapalli_I (Tamil Nadu),Krishnagiri_Bynapalli_I (Tamil Nadu),Krishnagiri,Tamil Nadu,FALSE
1802,627435,Tirunelveli_Krishnapuram_H (Tamil Nadu),Tirunelveli_Krishnapuram_H (Tamil Nadu),Tirunelveli_Krishnapuram_H (Tamil Nadu),Tirunelveli,Tamil Nadu,TRUE
1803,248115,Dehradun_Badowala_H (Uttarakhand),Dehradun_Badowala_H (Uttarakhand),Dehradun_Badowala_H (Uttarakhand),Dehradun,Uttarakhand,FALSE
1804,623708,Muthukulathur_Selvanygprm_D (Tamil Nadu),Muthukulathur_Selvanygprm_D (Tamil Nadu),Muthukulathur_Selvanygprm_D (Tamil Nadu),Muthukulathur,Tamil Nadu,TRUE
1805,825314,Kedla_Ghatotand_D (Jharkhand),Kedla_Ghatotand_D (Jharkhand),Kedla_Ghatotand_D (Jharkhand),Kedla,Jharkhand,FALSE
1806,174036,BilaspurHP_Chandpur_I (Himachal Pradesh),BilaspurHP_Chandpur_I (Himachal Pradesh),BilaspurHP_Chandpur_I (Himachal Pradesh),Bilaspur-HP,Himachal Pradesh,TRUE
1807,629174,Thuckalay_RajamonyHosp_D (Tamil Nadu),Thuckalay_RajamonyHosp_D (Tamil Nadu),Thuckalay_RajamonyHosp_D (Tamil Nadu),Thuckalay,Tamil Nadu,TRUE
1808,582111,Rona_GadagRD_D (Karnataka),Rona_GadagRD_D (Karnataka),Rona_GadagRD_D (Karnataka),Rona,Karnataka,FALSE
1809,508257,Devarakonda_DindiRD_D (Telangana),Devarakonda_DindiRD_D (Telangana),Devarakonda_DindiRD_D (Telangana),Devarakonda,Telangana,TRUE
1810,533264,Mandapeta_Hospital_D (Andhra Pradesh),Mandapeta_Hospital_D (Andhra Pradesh),Mandapeta_Hospital_D (Andhra Pradesh),Mandapeta,Andhra Pradesh,TRUE
1811,229412,Soraon_Akaripur_D (Uttar Pradesh),Soraon_Akaripur_D (Uttar Pradesh),Soraon_Akaripur_D (Uttar Pradesh),Soraon,Uttar Pradesh,TRUE
1812,403710,Goa_Hub (Goa),Goa_Hub (Goa),Goa_Hub (Goa),Goa,Goa,FALSE
1813,413114,Walchandnagar_AshokNagar_D (Maharashtra),Walchandnagar_AshokNagar_D (Maharashtra),Walchandnagar_AshokNagar_D (Maharashtra),Walchandnagar,Maharashtra,TRUE
1814,323801,Nainwa_Ward12_DPP (Rajasthan),Nainwa_Ward12_DPP (Rajasthan),Nainwa_Ward12_DPP (Rajasthan),Nainwa,Rajasthan,FALSE
1815,518452,Kurnool_Dinnedevrpdu_I (Andhra Pradesh),Kurnool_Dinnedevrpdu_I (Andhra Pradesh),Kurnool_Dinnedevrpdu_I (Andhra Pradesh),Kurnool,Andhra Pradesh,FALSE
1816,227406,Amethi_Kherauna_D (Uttar Pradesh),Amethi_Kherauna_D (Uttar Pradesh),Amethi_Kherauna_D (Uttar Pradesh),Amethi,Uttar Pradesh,FALSE
1817,581330,Kumta_Central_DPP_2 (Karnataka),Kumta_Central_DPP_2 (Karnataka),Kumta_Central_DPP_2 (Karnataka),Kumta,Karnataka,FALSE
1818,321605,Kherli_GodamDPP_D (Rajasthan),Kherli_GodamDPP_D (Rajasthan),Kherli_GodamDPP_D (Rajasthan),Kherli,Rajasthan,FALSE
1819,639136,Karur_Polytechnic_D (Tamil Nadu),Karur_Polytechnic_D (Tamil Nadu),Karur_Polytechnic_D (Tamil Nadu),Karur,Tamil Nadu,FALSE
1820,691585,Kollam_Kilikollur_H (Kerala),Kollam_Kilikollur_H (Kerala),Kollam_Kilikollur_H (Kerala),Kollam,Kerala,TRUE
1821,387310,Anand_VitthalUdyog_D (Gujarat),Anand_VitthalUdyog_D (Gujarat),Anand_VitthalUdyog_D (Gujarat),Anand,Gujarat,FALSE
1822,177301,Nadaun_Bela_D (Himachal Pradesh),Nadaun_Bela_D (Himachal Pradesh),Nadaun_Bela_D (Himachal Pradesh),Nadaun,Himachal Pradesh,TRUE
1823,766020,Muniguda_Ambodola_DPP (Orissa),Muniguda_Ambodola_DPP (Orissa),Muniguda_Ambodola_DPP (Orissa),Muniguda,Orissa,FALSE
1824,392135,Dahej_Vadadla_D (Gujarat),Dahej_Vadadla_D (Gujarat),Dahej_Vadadla_D (Gujarat),Dahej,Gujarat,FALSE
1825,212108,Shankargarh_ShankargarhRd_DPP (Uttar Pradesh),Shankargarh_ShankargarhRd_DPP (Uttar Pradesh),Shankargarh_ShankargarhRd_DPP (Uttar Pradesh),Shankargarh,Uttar Pradesh,FALSE
1826,523252,Podili_Sravaniestate_D (Andhra Pradesh),Podili_Sravaniestate_D (Andhra Pradesh),Podili_Sravaniestate_D (Andhra Pradesh),Podili,Andhra Pradesh,FALSE
1827,835305,Lohardaga_Nadiya_D (Jharkhand),Lohardaga_Nadiya_D (Jharkhand),Lohardaga_Nadiya_D (Jharkhand),Lohardaga,Jharkhand,FALSE
1828,221116,Aunrihar_JawahrNgr_D (Uttar Pradesh),Aunrihar_JawahrNgr_D (Uttar Pradesh),Aunrihar_JawahrNgr_D (Uttar Pradesh),Aunrihar,Uttar Pradesh,FALSE
1829,241406,Pihani_Katrabzr_D (Uttar Pradesh),Pihani_Katrabzr_D (Uttar Pradesh),Pihani_Katrabzr_D (Uttar Pradesh),Pihani,Uttar Pradesh,TRUE
1830,516349,Pulivendula_Bakarapuram_D (Andhra Pradesh),Pulivendula_Bakarapuram_D (Andhra Pradesh),Pulivendula_Bakarapuram_D (Andhra Pradesh),Pulivendula,Andhra Pradesh,TRUE
1831,786183,Chabua_CollgeRD_D (Assam),Chabua_CollgeRD_D (Assam),Chabua_CollgeRD_D (Assam),Chabua,Assam,FALSE
1832,581205,Haveri_Savanur_DPP (Karnataka),Haveri_Savanur_DPP (Karnataka),Haveri_Savanur_DPP (Karnataka),Haveri,Karnataka,FALSE
1833,413309,Sangola_PatilChowk_DPP (Maharashtra),Sangola_PatilChowk_DPP (Maharashtra),Sangola_PatilChowk_DPP (Maharashtra),Sangola,Maharashtra,FALSE
1834,756168,Bhadrak_Deuli_D (Orissa),Bhadrak_Deuli_D (Orissa),Bhadrak_Deuli_D (Orissa),Bhadrak,Orissa,TRUE
1835,844139,HazratJandaha_HajiprRD_D (Bihar),HazratJandaha_HajiprRD_D (Bihar),HazratJandaha_HajiprRD_D (Bihar),Hazrat Jandaha,Bihar,FALSE
1836,721153,Panskura_Central_D_3 (West Bengal),Panskura_Central_D_3 (West Bengal),Panskura_Central_D_3 (West Bengal),Panskura,West Bengal,TRUE
1837,614401,Thanjavur_Riyasnagar_D (Tamil Nadu),Thanjavur_Riyasnagar_D (Tamil Nadu),Thanjavur_Riyasnagar_D (Tamil Nadu),Thanjavur,Tamil Nadu,TRUE
1838,388052,Anand_VitthalUdyog_D (Gujarat),Anand_VitthalUdyog_D (Gujarat),Anand_VitthalUdyog_D (Gujarat),Anand,Gujarat,TRUE
1839,626105,Aruppukkottai_Kanjnykknpti_D (Tamil Nadu),Aruppukkottai_Kanjnykknpti_D (Tamil Nadu),Aruppukkottai_Kanjnykknpti_D (Tamil Nadu),Aruppukkottai,Tamil Nadu,TRUE
1840,577542,Hosadurga_Srirampura_DPP (Karnataka),Hosadurga_Srirampura_DPP (Karnataka),Hosadurga_Srirampura_DPP (Karnataka),Hosadurga,Karnataka,FALSE
1841,629154,Marthandam_Knchiracode_D (Tamil Nadu),Marthandam_Knchiracode_D (Tamil Nadu),Marthandam_Knchiracode_D (Tamil Nadu),Marthandam,Tamil Nadu,TRUE
1842,626716,Kovilpatti_KadershanKoil_D (Tamil Nadu),Kovilpatti_KadershanKoil_D (Tamil Nadu),Kovilpatti_KadershanKoil_D (Tamil Nadu),Kovilpatti,Tamil Nadu,TRUE
1843,760008,Behrampur_Mandiapalli_I (Orissa),Behrampur_Mandiapalli_I (Orissa),Behrampur_Mandiapalli_I (Orissa),Behrampur,Orissa,FALSE
1844,612203,Mayavaram_Kutrallam_I (Tamil Nadu),Mayavaram_Kutrallam_I (Tamil Nadu),Mayavaram_Kutrallam_I (Tamil Nadu),Mayiladuthurai,Tamil Nadu,TRUE
1845,754285,Chandikhol_Gandhichhak_D (Orissa),Chandikhol_Gandhichhak_D (Orissa),Chandikhol_Gandhichhak_D (Orissa),Chandikhol,Orissa,FALSE
1846,387630,Kapadvanj_Dholikui_D (Gujarat),Kapadvanj_Dholikui_D (Gujarat),Kapadvanj_Dholikui_D (Gujarat),Kapadvanj,Gujarat,TRUE
1847,796181,Serchhip_FireStation_D (Mizoram),Serchhip_FireStation_D (Mizoram),Serchhip_FireStation_D (Mizoram),Serchhip,Mizoram,TRUE
1848,571134,Hunsur_IndustrialEstate_D (Karnataka),Hunsur_IndustrialEstate_D (Karnataka),Hunsur_IndustrialEstate_D (Karnataka),Hunsur,Karnataka,FALSE
1849,182301,Katra_Central_D_1 (Jammu & Kashmir),Katra_Central_D_1 (Jammu & Kashmir),Katra_Central_D_1 (Jammu & Kashmir),Katra,Jammu & Kashmir,TRUE
1850,413716,Ahmednagar_Kedgaon_I (Maharashtra),Ahmednagar_Kedgaon_I (Maharashtra),Ahmednagar_Kedgaon_I (Maharashtra),Ahmednagar,Maharashtra,FALSE
1851,531022,Chodavaram_Devarapalli_DPP (Andhra Pradesh),Visakhapatnam_Duvvada_H (Andhra Pradesh),Chodavaram_Devarapalli_DPP (Andhra Pradesh),Chodavaram,Andhra Pradesh,FALSE
1852,535580,Gajapatinagaram_SaibabaTmpl_DPP (Andhra Pradesh),Gajapatinagaram_SaibabaTmpl_DPP (Andhra Pradesh),Gajapatinagaram_SaibabaTmpl_DPP (Andhra Pradesh),Gajapatinagaram,Andhra Pradesh,TRUE
1853,632114,Vellore_Avrmpalyam_I (Tamil Nadu),Vellore_Avrmpalyam_I (Tamil Nadu),Vellore_Avrmpalyam_I (Tamil Nadu),Vellore,Tamil Nadu,FALSE
1854,332411,Reengus_TegoreViharColony_D (Rajasthan),Reengus_TegoreViharColony_D (Rajasthan),Reengus_TegoreViharColony_D (Rajasthan),Reengus,Rajasthan,FALSE
1855,383345,Modasa_Central_D_1 (Gujarat),Modasa_Central_D_1 (Gujarat),Modasa_Central_D_1 (Gujarat),Modasa,Gujarat,TRUE
1856,832104,Ghatshila_Ekramcolony_D (Jharkhand),Ghatshila_Ekramcolony_D (Jharkhand),Ghatshila_Ekramcolony_D (Jharkhand),Ghatshila,Jharkhand,FALSE
1857,360585,Porbandar_Vadiplot_D (Gujarat),Porbandar_Vadiplot_D (Gujarat),Porbandar_Vadiplot_D (Gujarat),Porbandar,Gujarat,TRUE
1858,743700,Madhyamgram_Barasat_L (West Bengal),Madhyamgram_Barasat_L (West Bengal),Madhyamgram_Barasat_L (West Bengal),Madhyamgram,West Bengal,FALSE
1859,581203,Hangal_PalaRd_D (Karnataka),Hangal_PalaRd_D (Karnataka),Hangal_PalaRd_D (Karnataka),Hangal,Karnataka,FALSE
1860,415727,Khed_TulshiCmplx_D (Maharashtra),Khed_TulshiCmplx_D (Maharashtra),Khed_TulshiCmplx_D (Maharashtra),Khed,Maharashtra,TRUE
1861,411019,Pune_Pimpri_L (Maharashtra),Pune_Pimpri_L (Maharashtra),Pune_Pimpri_L (Maharashtra),Pune,Maharashtra,FALSE
1862,743391,DakshinBarasat_Baharu_DPP (West Bengal),DakshinBarasat_Baharu_DPP (West Bengal),DakshinBarasat_Baharu_DPP (West Bengal),Dakshin Barasat,West Bengal,TRUE
1863,785013,Jorhat_Chokihaat_I (Assam),Jorhat_Chokihaat_I (Assam),Jorhat_Chokihaat_I (Assam),Jorhat,Assam,FALSE
1864,464220,GanjBasoda_AshokParkDPP_D (Madhya Pradesh),GanjBasoda_AshokParkDPP_D (Madhya Pradesh),GanjBasoda_AshokParkDPP_D (Madhya Pradesh),Ganj Basoda,Madhya Pradesh,TRUE
1865,560013,Bangalore_Nelamangla_L (Karnataka),Bangalore_Nelamangla_H (Karnataka),Bangalore_Nelamangla_L (Karnataka),Bangalore,Karnataka,FALSE
1866,303803,Chomu_SamodRd_D (Rajasthan),Chomu_SamodRd_D (Rajasthan),Chomu_SamodRd_D (Rajasthan),Chomu,Rajasthan,FALSE
1867,627114,Azhagappapuram_RPYNT_D (Tamil Nadu),Azhagappapuram_RPYNT_D (Tamil Nadu),Azhagappapuram_RPYNT_D (Tamil Nadu),Azhagappapuram,Tamil Nadu,FALSE
1868,721423,Contai_Bankaberya_D (West Bengal),Contai_Bankaberya_D (West Bengal),Contai_Bankaberya_D (West Bengal),Contai,West Bengal,TRUE
1869,202128,Aligarh_IndustrialEstate_I (Uttar Pradesh),Aligarh_IndustrialEstate_I (Uttar Pradesh),Aligarh_IndustrialEstate_I (Uttar Pradesh),Aligarh,Uttar Pradesh,FALSE
1870,803102,Hilsa_Sryamndr_D (Bihar),Hilsa_Sryamndr_D (Bihar),Hilsa_Sryamndr_D (Bihar),Hilsa,Bihar,TRUE
1871,562161,Channapatna_2ndCross_D (Karnataka),Channapatna_2ndCross_D (Karnataka),Channapatna_2ndCross_D (Karnataka),Channapatna,Karnataka,TRUE
1872,414002,Ahmednagar_Kedgaon_I (Maharashtra),Ahmednagar_Kedgaon_I (Maharashtra),Ahmednagar_Kedgaon_I (Maharashtra),Ahmednagar,Maharashtra,FALSE
1873,481882,Bajag_DindoriRd_DPP (Madhya Pradesh),Bajag_DindoriRd_DPP (Madhya Pradesh),Bajag_DindoriRd_DPP (Madhya Pradesh),Bajag,Madhya Pradesh,FALSE
1874,756083,Basta_Darada_DPP (Orissa),Basta_Darada_DPP (Orissa),Basta_Darada_DPP (Orissa),Basta,Orissa,FALSE
1875,523261,Addanki_AbhyudayaNagar_D (Andhra Pradesh),Addanki_AbhyudayaNagar_D (Andhra Pradesh),Addanki_AbhyudayaNagar_D (Andhra Pradesh),Addanki,Andhra Pradesh,TRUE
1876,212204,Sirathu_Ward4_DPP (Uttar Pradesh),Sirathu_Ward4_DPP (Uttar Pradesh),Sirathu_Ward4_DPP (Uttar Pradesh),Sirathu,Uttar Pradesh,TRUE
1877,743270,Helencha_ColnyDPP_D (West Bengal),Helencha_ColnyDPP_D (West Bengal),Helencha_ColnyDPP_D (West Bengal),Helencha,West Bengal,TRUE
1878,323001,Bundi_Central_D_1 (Rajasthan),Bundi_Central_D_1 (Rajasthan),Bundi_Central_D_1 (Rajasthan),Bundi,Rajasthan,TRUE
1879,637017,Namakkal_KonguNgr_D (Tamil Nadu),Namakkal_KonguNgr_D (Tamil Nadu),Namakkal_KonguNgr_D (Tamil Nadu),Namakkal,Tamil Nadu,TRUE
1880,385120,Ambaji_Khodiyarchowk_DPP (Gujarat),Ambaji_Khodiyarchowk_DPP (Gujarat),Ambaji_Khodiyarchowk_DPP (Gujarat),Ambaji,Gujarat,FALSE
1881,757048,Rairangpur_Ichinda_D (Orissa),Rairangpur_Ichinda_D (Orissa),Rairangpur_Ichinda_D (Orissa),Rairangpur,Orissa,TRUE
1882,122010,Gurgaon_Sihi_L (Haryana),Gurgaon_Sihi_L (Haryana),Gurgaon_Sihi_L (Haryana),Gurgaon,Haryana,FALSE
1883,533222,Amalapuram_KNFrd_D (Andhra Pradesh),Amalapuram_KNFrd_D (Andhra Pradesh),Amalapuram_KNFrd_D (Andhra Pradesh),Amalapuram,Andhra Pradesh,TRUE
1884,132041,Karnal_VijayNagar_I (Haryana),Karnal_VijayNagar_I (Haryana),Karnal_VijayNagar_I (Haryana),Karnal,Haryana,FALSE
1885,759018,Kamakhyanagar_Mundideuli_D (Orissa),Kamakhyanagar_Mundideuli_D (Orissa),Kamakhyanagar_Mundideuli_D (Orissa),Kamakhyanagar,Orissa,TRUE
1886,123001,Narnaul_MamrajColony_D (Haryana),Narnaul_MamrajColony_D (Haryana),Narnaul_MamrajColony_D (Haryana),Narnaul,Haryana,TRUE
1887,606601,Tiruvanamalai_VelNagar_D (Tamil Nadu),Tiruvanamalai_VelNagar_D (Tamil Nadu),Tiruvanamalai_VelNagar_D (Tamil Nadu),Tiruvannamalai,Tamil Nadu,FALSE
1888,522310,Bapatla_Malleswari_D (Andhra Pradesh),Bapatla_Malleswari_D (Andhra Pradesh),Bapatla_Malleswari_D (Andhra Pradesh),Bapatla,Andhra Pradesh,FALSE
1889,825418,Domchanch_Koderma_D (Jharkhand),Domchanch_Koderma_D (Jharkhand),Domchanch_Koderma_D (Jharkhand),Domchanch,Jharkhand,FALSE
1890,635752,Ambur_Gandhinagar_D (Tamil Nadu),Ambur_Gandhinagar_D (Tamil Nadu),Ambur_Gandhinagar_D (Tamil Nadu),Ambur,Tamil Nadu,TRUE
1891,225405,Dariyabad_MathuraNagar_D (Uttar Pradesh),Dariyabad_MathuraNagar_D (Uttar Pradesh),Dariyabad_MathuraNagar_D (Uttar Pradesh),Dariyabad,Uttar Pradesh,TRUE
1892,676505,Malappuram_Munduprm_D (Kerala),Malappuram_Munduprm_D (Kerala),Malappuram_Munduprm_D (Kerala),Malappuram,Kerala,TRUE
1893,754133,Jagatsinghpur_Bnbrda_D (Orissa),Jagatsinghpur_Bnbrda_D (Orissa),Jagatsinghpur_Bnbrda_D (Orissa),Jagatsinghpur,Orissa,TRUE
1894,673007,Kozhikode_Central_H (Kerala),Kozhikode_Central_H (Kerala),Kozhikode_Central_H (Kerala),Kozhikode,Kerala,FALSE
1895,622411,Ponnamaravathi_Nattukkal_D (Tamil Nadu),Ponnamaravathi_Nattukkal_D (Tamil Nadu),Ponnamaravathi_Nattukkal_D (Tamil Nadu),Ponnamaravathi,Tamil Nadu,TRUE
1896,403728,Canacona_Shristal_D (Goa),Canacona_Shristal_D (Goa),Canacona_Shristal_D (Goa),Goa,Goa,TRUE
1897,784025,Tezpur_Dipota_H (Assam),Tezpur_Dipota_H (Assam),Tezpur_Dipota_H (Assam),Tezpur,Assam,FALSE
1898,670571,Alakode_Vayattuparamba_DPP (Kerala),Alakode_Vayattuparamba_DPP (Kerala),Alakode_Vayattuparamba_DPP (Kerala),Alakode,Kerala,FALSE
1899,829127,Phusro_RhmgjDPP_D (Jharkhand),Phusro_RhmgjDPP_D (Jharkhand),Phusro_RhmgjDPP_D (Jharkhand),Phusro,Jharkhand,FALSE
1900,614017,Thiruvarur_Mannargudi_D (Tamil Nadu),Thiruvarur_Mannargudi_D (Tamil Nadu),Thiruvarur_Mannargudi_D (Tamil Nadu),Thiruvarur,Tamil Nadu,TRUE
1901,582115,Gadag_TajNagar_D (Karnataka),Gadag_TajNagar_D (Karnataka),Gadag_TajNagar_D (Karnataka),Gadag,Karnataka,FALSE
1902,814147,Mahagama_Kaitbkl_DPP (Jharkhand),Mahagama_Kaitbkl_DPP (Jharkhand),Mahagama_Kaitbkl_DPP (Jharkhand),Mahagama,Jharkhand,TRUE
1903,533016,Kakinada_Ramanayapeta_D (Andhra Pradesh),Kakinada_Ramanayapeta_D (Andhra Pradesh),Kakinada_Ramanayapeta_D (Andhra Pradesh),Kakinada,Andhra Pradesh,FALSE
1904,585372,Chincholi_CKRd_D (Karnataka),Chincholi_CKRd_D (Karnataka),Chincholi_CKRd_D (Karnataka),Chincholi,Karnataka,TRUE
1905,209305,Kanpur_Sarimita_L (Uttar Pradesh),Kanpur_Kataraghan_H (Uttar Pradesh),Kanpur_Sarimita_L (Uttar Pradesh),Kanpur,Uttar Pradesh,FALSE
1906,627821,Tenkasi_RailwayRdNew_D (Tamil Nadu),Tenkasi_RailwayRdNew_D (Tamil Nadu),Tenkasi_RailwayRdNew_D (Tamil Nadu),Tenkasi,Tamil Nadu,TRUE
1907,443001,Buldhana_Sanenagar_DPP (Maharashtra),Buldhana_Sanenagar_DPP (Maharashtra),Buldhana_Sanenagar_DPP (Maharashtra),Buldhana,Maharashtra,TRUE
1908,151214,Faridkot_JatinderChwk_D (Punjab),Faridkot_JatinderChwk_D (Punjab),Faridkot_JatinderChwk_D (Punjab),Faridkot,Punjab,FALSE
1909,581108,Haveri_Guttal_D (Karnataka),Haveri_Guttal_D (Karnataka),Haveri_Guttal_D (Karnataka),Haveri,Karnataka,FALSE
1910,721305,Kharagpur_Nimpura_I (West Bengal),Kharagpur_Nimpura_I (West Bengal),Kharagpur_Nimpura_I (West Bengal),Kharagpur,West Bengal,TRUE
